,T.oceanica,Tetraselmis sp.,H.niei ,Synechococcus sp.,D.brightwelli,N.oculata
,,,,,,
,CS-67,CS-87,CS-89,CS-94,CS-131,CS-189
,Bacillariophyceae ,Prasinophyceae,Dinophyceae ,Cyanophyceae,Bacillariophyceae ,Eustigmataceae
,2.67,4.01,5.47,6.27,4.04,6.46
Wavelength (nm),,,,,,
,,,,,,
513.4,0.0247,0.0172,0.0963,0.1267,0.0285,0.0975
512.6,0.0249,0.0182,0.0970,0.1283,0.0287,0.1008
511.7,0.0249,0.0192,0.0978,0.1299,0.0289,0.1038
510.9,0.0250,0.0203,0.0985,0.1316,0.0290,0.1072
510.0,0.0247,0.0212,0.0990,0.1333,0.0293,0.1108
509.2,0.0248,0.0220,0.0999,0.1353,0.0296,0.1147
508.3,0.0251,0.0232,0.1006,0.1377,0.0298,0.1186
507.5,0.0252,0.0244,0.1016,0.1398,0.0302,0.1224
506.6,0.0253,0.0255,0.1022,0.1417,0.0304,0.1257
505.8,0.0256,0.0263,0.1027,0.1436,0.0308,0.1293
504.9,0.0254,0.0273,0.1036,0.1455,0.0307,0.1325
504.1,0.0257,0.0283,0.1046,0.1480,0.0308,0.1354
503.2,0.0263,0.0294,0.1052,0.1507,0.0311,0.1389
502.3,0.0262,0.0301,0.1057,0.1527,0.0314,0.1419
501.5,0.0265,0.0313,0.1068,0.1550,0.0317,0.1447
500.6,0.0269,0.0323,0.1077,0.1576,0.0319,0.1481
499.8,0.0271,0.0333,0.1088,0.1600,0.0321,0.1510
498.9,0.0277,0.0340,0.1090,0.1623,0.0326,0.1542
498.1,0.0280,0.0347,0.1096,0.1640,0.0327,0.1570
497.2,0.0277,0.0354,0.1105,0.1655,0.0329,0.1592
496.4,0.0280,0.0365,0.1119,0.1677,0.0331,0.1617
495.5,0.0279,0.0371,0.1125,0.1691,0.0332,0.1644
494.7,0.0278,0.0377,0.1134,0.1708,0.0335,0.1662
493.8,0.0278,0.0385,0.1142,0.1723,0.0338,0.1682
493.0,0.0279,0.0393,0.1150,0.1742,0.0339,0.1699
492.1,0.0279,0.0401,0.1156,0.1756,0.0344,0.1719
491.3,0.0283,0.0410,0.1162,0.1767,0.0345,0.1740
490.4,0.0285,0.0415,0.1165,0.1777,0.0346,0.1757
489.5,0.0287,0.0422,0.1169,0.1792,0.0349,0.1770
488.7,0.0287,0.0427,0.1176,0.1800,0.0351,0.1788
487.8,0.0287,0.0431,0.1180,0.1806,0.0353,0.1802
487.0,0.0289,0.0437,0.1188,0.1810,0.0356,0.1811
486.1,0.0288,0.0440,0.1197,0.1817,0.0356,0.1821
485.3,0.0287,0.0444,0.1205,0.1824,0.0360,0.1823
484.4,0.0288,0.0444,0.1213,0.1826,0.0361,0.1823
483.6,0.0290,0.0443,0.1220,0.1829,0.0364,0.1825
482.7,0.0292,0.0445,0.1224,0.1832,0.0366,0.1821
481.9,0.0293,0.0449,0.1231,0.1833,0.0368,0.1817
481.0,0.0295,0.0446,0.1241,0.1834,0.0371,0.1812
480.2,0.0298,0.0452,0.1243,0.1839,0.0373,0.1806
